support,itemsets,length
0.025308641975308643,SET OF 6 SPICE TINS SKETCHBOOK,1
0.024074074074074074,TAPE DISPENSER,1
0.024074074074074074,CHRISTMAS CANDLE SET,1
0.02345679012345679,CUP AND SAUCER SET,1
0.02345679012345679,SET/6 RED SPOTTY PAPER PLATES,1
0.022839506172839506,COFFEE MUG PEARS DESIGN,1
0.022839506172839506,COFFEE MUG GREEN POLKA DOT,1
0.022839506172839506,WOODEN FRAME ANTIQUE WHITE,1
0.021604938271604937,BOX OF 6 ASSORTED ALPHABET BLOCKS,1
0.020987654320987655,CHARGER,1
0.020987654320987655,BLUETOOTH SPEAKER,1
0.020987654320987655,COLOURING PENCILS BROWN TUBE,1
0.020987654320987655,PACK OF 72 RED SPOT CAKE CASES,1
0.020987654320987655,LUNCH BAG SUKI DESIGN,1
0.020987654320987655,LUNCH BAG PINK POLKA DOT,1
0.020370370370370372,CHRISTMAS TABLE CLOTH,1
0.020370370370370372,SET OF 4 KNICK KNACK TINS,1
0.020370370370370372,PLASTERS IN TIN WOODLAND ANIMALS,1
0.020370370370370372,PRINTER PAPER,1
0.020370370370370372,OFFICE CHAIR,1
0.020370370370370372,VACUUM CLEANER,1
0.020370370370370372,WINE GLASS SET,1
0.020370370370370372,WOODEN FRAME BLACK,1
0.020370370370370372,SET/6 RED SPOTTY PAPER CUPS,1
0.020370370370370372,CHRISTMAS TABLE RUNNER,1
0.020370370370370372,CRAFT KIT,1
0.020370370370370372,DUVET COVER,1
0.020370370370370372,TRAVEL BAG,1
0.020370370370370372,SCISSORS,1
0.019753086419753086,SET 7 BABUSHKA NESTING BOXES,1
0.019753086419753086,COFFEE MUG BLUE POLKA DOT,1
0.019753086419753086,SET OF 6 HERB TINS,1
0.019753086419753086,SEWING KIT,1
0.019753086419753086,TEA SET,1
0.019135802469135803,BOWL SET,1
0.019135802469135803,HAIR STRAIGHTENER,1
0.019135802469135803,HAND WARMER UNION JACK,1
0.019135802469135803,KETTLE,1
0.019135802469135803,TABLE LAMP,1
0.019135802469135803,WOODEN FRAME PAINTED GREEN,1
0.019135802469135803,THROW BLANKET,1
0.019135802469135803,PLASTERS IN TIN BLUE SPOTS,1
0.019135802469135803,SET OF 12 HEART SHAPED DOILIES,1
0.019135802469135803,COFFEE MUG APPLES DESIGN,1
0.019135802469135803,CUSHION SET,1
0.019135802469135803,CHRISTMAS GARLAND,1
0.019135802469135803,BOX OF 6 ASSORTED SPACEBOY DESIGNS,1
0.018518518518518517,JAM MAKING SET RED,1
0.018518518518518517,KNITTED BLUE HOTTIE WHITE HEART,1
0.018518518518518517,LUNCH BAG RED RETROSPOT,1
0.018518518518518517,COFFEE MUG PINK POLKA DOT,1
0.018518518518518517,CHRISTMAS LIGHTS ICICLE,1
0.018518518518518517,CHRISTMAS CRAFT KIT,1
0.018518518518518517,BATHROOM TOWEL SET,1
0.018518518518518517,DESK MAT,1
0.018518518518518517,GLUE STICK,1
0.018518518518518517,HAND TOWEL SET,1
0.018518518518518517,WOODEN FRAME PAINTED PINK,1
0.018518518518518517,WOODEN FRAME PAINTED BLUE,1
0.018518518518518517,METAL HOOK RACK 5 HOOKS BLACK,1
0.018518518518518517,LUNCH BAG BLACK SKULL,1
0.017901234567901235,CHRISTMAS TREE DECORATION,1
0.017901234567901235,COFFEE MUG ORANGE DESIGN,1
0.017901234567901235,CHRISTMAS LIGHTS SNOWFLAKE,1
0.017901234567901235,DINNER PLATE SET,1
0.017901234567901235,SIDE PLATE SET,1
0.017901234567901235,WOODEN FRAME PAINTED WHITE,1
0.017901234567901235,SET OF 6 SPICE TINS PANTRY DESIGN,1
0.017901234567901235,SEWING MACHINE,1
0.017901234567901235,PLASTERS IN TIN SPACEBOY,1
0.017901234567901235,SET OF 12 ROUND PAPER DOILIES,1
0.017901234567901235,WHITE HANGING HEART T-LIGHT HOLDER,1
0.017901234567901235,TRAVEL BLANKET,1
0.017901234567901235,LAPTOP STAND,1
0.017901234567901235,JUMBO BAG RED RETROSPOT,1
0.017901234567901235,METAL HOOK RACK 3 HOOKS WHITE,1
0.017901234567901235,PACK OF 60 BLUE PAISLEY CAKE CASES,1
0.017901234567901235,LUNCH BAG WOODLAND,1
0.017901234567901235,MINI PAINT SET VINTAGE,1
0.017901234567901235,LUNCH BAG CARS RED,1
0.017901234567901235,WOODEN FRAME PAINTED BLACK,1
0.01728395061728395,LAMP SHADE,1
0.01728395061728395,JAM MAKING SET PINK,1
0.01728395061728395,PLASTERS IN TIN PINK SPOTS,1
0.01728395061728395,ASSORTED COLOUR BIRD ORNAMENT,1
0.01728395061728395,BLENDER,1
0.01728395061728395,BOOKSHELF,1
0.01728395061728395,CANDLE HOLDER SET,1
0.01728395061728395,CHRISTMAS STOCKING,1
0.01728395061728395,GLASS STAR FROSTED T-LIGHT HOLDER,1
0.01728395061728395,CREAM CUPID HEARTS COAT HANGER,1
0.01728395061728395,TRAVEL PILLOW,1
0.01728395061728395,PLASTIC STORAGE BOX,1
0.01728395061728395,SET OF 3 CAKE TINS SKETCHBOOK DESIGN,1
0.01728395061728395,REGENCY CAKESTAND 3 TIER,1
0.01728395061728395,PILLOW SET,1
0.016666666666666666,MINI PAINT SET WOODLAND,1
0.016666666666666666,POWER BANK,1
0.016666666666666666,BATHROOM MAT,1
0.016666666666666666,CHRISTMAS LIGHTS STAR,1
0.016666666666666666,JAM MAKING SET GREEN,1
0.016666666666666666,METAL HOOK RACK 5 HOOKS CHROME,1
0.016666666666666666,PACK OF 20 SKULL PAPER NAPKINS,1
0.016666666666666666,WOODEN FRAME PAINTED YELLOW,1
0.016666666666666666,PACK OF 20 BLUE POLKA DOT NAPKINS,1
0.016666666666666666,IRON,1
0.016666666666666666,JUMBO BAG WOODLAND,1
0.016049382716049384,METAL HOOK RACK 5 HOOKS WHITE,1
0.016049382716049384,OIL AND VINEGAR SET,1
0.016049382716049384,METAL HOOK RACK 3 HOOKS BLACK,1
0.016049382716049384,KNITTED UNION FLAG HOT WATER BOTTLE,1
0.016049382716049384,IRONING BOARD,1
0.016049382716049384,CHRISTMAS PLATE SET,1
0.016049382716049384,CHRISTMAS WREATH,1
0.016049382716049384,LUNCH BAG CARS BLUE,1
0.016049382716049384,STAPLER,1
0.016049382716049384,STORAGE CABINET,1
0.016049382716049384,RUG SMALL,1
0.016049382716049384,WOODEN FRAME NATURAL,1
0.016049382716049384,TONER CARTRIDGE,1
0.016049382716049384,PACK OF 20 PINK POLKA DOT NAPKINS,1
0.016049382716049384,PAPER CLIPS,1
0.016049382716049384,PACK OF 60 GREEN PAISLEY CAKE CASES,1
0.015432098765432098,COFFEE MAKER,1
0.015432098765432098,FILE FOLDER SET,1
0.015432098765432098,BEDDING SET DOUBLE,1
0.015432098765432098,CURTAIN SET,1
0.015432098765432098,CHRISTMAS BAUBLE SET,1
0.015432098765432098,PACK OF 72 RETROSPOT CAKE CASES,1
0.015432098765432098,HEADPHONES,1
0.015432098765432098,JUMBO BAG BLACK SKULL,1
0.015432098765432098,SALT AND PEPPER SET,1
0.015432098765432098,RED WOOLLY HOTTIE WHITE HEART,1
0.015432098765432098,WIRELESS MOUSE,1
0.014814814814814815,SET OF 3 FLYING FISH,1
0.014814814814814815,JAM MAKING SET BLUE,1
0.014814814814814815,EARPHONES,1
0.014814814814814815,FLOOR LAMP,1
0.014814814814814815,GLASS SET,1
0.014814814814814815,JUMBO BAG SUKI,1
0.014814814814814815,RUG LARGE,1
0.014197530864197531,LUNCH BAG SPACEBOY,1
0.014197530864197531,METAL HOOK RACK 3 HOOKS CHROME,1
0.014197530864197531,PHONE CASE,1
0.014197530864197531,JUMBO BAG PINK POLKA DOT,1
0.014197530864197531,USB CABLE SET,1
0.014197530864197531,JAM MAKING SET PRINTED,1
0.014197530864197531,BEDDING SET SINGLE,1
0.014197530864197531,COFFEE SET,1
0.014197530864197531,COFFEE MUG DOLLY GIRL,1
0.014197530864197531,CHRISTMAS MUG SET,1
0.014197530864197531,PACK OF 60 PINK PAISLEY CAKE CASES,1
0.013580246913580247,BATH TOWEL,1
0.013580246913580247,SET OF 3 CAKE TINS PANTRY DESIGN,1
0.013580246913580247,COFFEE MUG BLACK SKULL,1
0.013580246913580247,NOTEBOOK SET,1
0.013580246913580247,PACK OF 12 GLITTER PENCILS,1
0.013580246913580247,PACK OF 12 COLOURED PENCILS,1
0.013580246913580247,MOUSE PAD,1
0.013580246913580247,HAIRDRYER,1
0.013580246913580247,SET OF 6 SPICE TINS VINTAGE,1
0.013580246913580247,UMBRELLA,1
0.013580246913580247,SHELVING UNIT,1
0.013580246913580247,STRING OF CHRISTMAS LIGHTS,1
0.012962962962962963,WHITE METAL LANTERN,1
0.012962962962962963,PEN SET,1
0.012962962962962963,TOASTER,1
0.012962962962962963,BOX OF 6 ASSORTED COLOUR TEASPOONS,1
0.012962962962962963,CERAMIC CAKE STAND WITH HANDLE,1
0.012962962962962963,BOX OF 6 DINOSAUR DESIGNS,1
0.012962962962962963,PLACE MAT SET,1
0.012962962962962963,PACK OF 72 BLUE SPOT CAKE CASES,1
0.012962962962962963,HAND WARMER RED POLKA DOT,1
0.012345679012345678,PLASTERS IN TIN ORANGE SPOTS,1
0.012345679012345678,CHRISTMAS CUP SET,1
0.012345679012345678,TEALIGHT HOLDER SET,1
0.012345679012345678,WOODEN FRAME PAINTED RED,1
0.012345679012345678,PLASTERS IN TIN CARS,1
0.012345679012345678,MONITOR STAND,1
0.011728395061728396,PAPER CHAIN KIT 50'S CHRISTMAS,1
0.011728395061728396,INK CARTRIDGE SET,1
0.011728395061728396,CHRISTMAS DECORATION SET,1
0.011111111111111112,BOOK END SET,1
0.011111111111111112,SET/20 RED RETROSPOT PAPER NAPKINS,1
0.011111111111111112,KEYBOARD,1
0.011111111111111112,SET OF 3 COLOURED FLYING DUCKS,1
0.009259259259259259,CHILLI LIGHTS,1
